name,release_year,runtime,category,box_office,rating
Parasite,2019,132,Thriller/Comedy,259000000,8.6
Jojo Rabbit,2019,108,War/Drama,90300000,7.9
Toy Story,1995,81,Family/Comedy,373000000,8.3
Guardians of the Galaxy Vol. 2,2017,138,Action/Sci-fi,863800000,7.6
500 Days of Summer,2009,97,Romance/Drama,60700000,7.7
Dodgeball,2004,98,Comedy/Sport,168400000,6.7
Uncut Gems,2019,135,Crime/Comedy,50000000,7.4
Semi-Pro,2008,99,Comedy/Sport,43900000,5.8
The Dictator,2012,99,Comedy/Dark,179400000,6.4
Borat,2006,86,Comedy/Mockumentary,262600000,7.3
Inception,2010,162,Action/Sci-fi,836800000,8.8
The School of Rock,2003,109,Comedy/Music,131300000,7.1
Lilo & Stitch,2002,85,Family/Comedy,273100000,7.3
Monster's Inc.,2001,96,Comedy/Fantasy,577400000,8.1
The Shawshank Redemption,1984,144,Drama/Crime,58300000,9.3
Get Out,2017,104,Horror/Thriller,255400000,7.7
Spider-Man 2,2002,135,Action/Adventure,789000000,7.3
Avengers: Endgame,2019,182,Action/Sci-fi,2798000000,8.4
The Interview,2014,112,Comedy/Action,12300000,6.5
The Truman Show,1998,107,Sci-fi/Drama,264100000,8.1
The Prince of Egypt,1998,100,Family/Musical,218600000,7.1
Small Soldiers,1998,110,Action/Comedy,87500000,6.2
Spider-Man,2002,121,Action/Fantasy,82500000,7.3
